wave,MT2,MT3,MT7,MT8,MT11,MT12,MT13,MT14,MT19,MT20,MT21,MT24,MT25,MT15,MT16,MT17,MT18,MT28,MT29,MT32,MT34
1300,0.430793335371446,0.451702231633817,1.74638125752721,1.61615019782272,1.90262623357481,1.59195701345453,2.06022650363218,1.75024111069896,1.368498884,1.331902852,1.305445863,1.641200024,1.784984368,1.443225685,1.264514457,1.304549426,1.029714823,1.50751227,0.9296903612,1.23750685,1.090291045
1299,0.427086517884439,0.461824866776813,1.74904750001894,1.61504435652324,1.91271952688249,1.59274283469082,2.06232910707034,1.75035769169625,1.370214276,1.334847842,1.304458628,1.645177479,1.78747142,1.443588291,1.263409392,1.304906594,1.029037867,1.509028614,0.9291086081,1.24123892,1.091288955
1298,0.431060837664323,0.463709771251716,1.75160769877519,1.61524095053203,1.91025687116895,1.59867897078656,2.06063258584127,1.74764453394097,1.370399125,1.333411705,1.305147396,1.6441364,1.78435444,1.445582625,1.261275474,1.306430936,1.028154261,1.510224712,0.9289045377,1.241211745,1.092677026
1297,0.423876490369917,0.467363228073441,1.74986555169253,1.61644508883592,1.90788409340116,1.59917807346367,2.06278933357397,1.75056965714589,1.369267853,1.333999491,1.305428644,1.645844837,1.784625076,1.445280453,1.262746353,1.304530292,1.029664942,1.509503195,0.9313929788,1.239671813,1.095561962
1296,0.419023234484867,0.473646242989784,1.7496761878792,1.6155030758771,1.91012205425033,1.60351070946915,2.06298786265397,1.75043187960362,1.369866761,1.335078109,1.304389751,1.645017313,1.784858383,1.443527856,1.260802963,1.306029122,1.029337153,1.511046548,0.9320051901,1.242307814,1.094136376
1295,0.422309691225925,0.475903474274545,1.7486990706024,1.6178949696508,1.90277902608258,1.60854421306375,2.06773451247575,1.7501033331567,1.369423125,1.335181123,1.30397075,1.652144699,1.790401754,1.443036827,1.263439877,1.304734388,1.031574672,1.508963022,0.9340763528,1.241972653,1.092241847
1294,0.422118618159584,0.472575803411444,1.75314533293946,1.61664168284472,1.90964570113785,1.61078486550776,2.06521680277941,1.75158709130412,1.370288216,1.335871923,1.303201625,1.648609607,1.785548971,1.445597734,1.261351685,1.304485646,1.028873972,1.508766244,0.9324712017,1.243553347,1.09120267
1293,0.424793641088352,0.480185232587904,1.75274388165519,1.61855028301346,1.91370818428574,1.60023999405324,2.06839326805938,1.74979598325473,1.371271609,1.337974622,1.30549752,1.650081608,1.786477533,1.444706327,1.259774109,1.302585003,1.028417917,1.508889712,0.9341098569,1.240731649,1.092530716
1292,0.4313283399572,0.485863216438229,1.75228940850319,1.61578158405623,1.91253977099099,1.60051609340654,2.0668952759103,1.74591701552647,1.369644943,1.337586805,1.307454771,1.646268133,1.78281928,1.440642115,1.258752877,1.304619584,1.029244517,1.504730377,0.9320173734,1.237620081,1.093115956
1291,0.425901864873127,0.486956926442185,1.75118352383333,1.61516722777873,1.90589779080009,1.59948603043464,2.06825790732302,1.74963700916751,1.370110761,1.334835723,1.304355313,1.647496072,1.781414773,1.440415486,1.259370189,1.303318473,1.027512933,1.49825987,0.934301744,1.238897318,1.093431086
1290,0.421430755120758,0.488260070276685,1.75156225146,1.61526552478313,1.9173841922669,1.6046363452941,2.07117267517935,1.74447565046897,1.366561673,1.335938579,1.303867435,1.647652425,1.784583081,1.436985836,1.256946667,1.304842814,1.026892984,1.500551749,0.9333819041,1.240826762,1.09356239
1289,0.427315805564048,0.506248109277919,1.75238787768613,1.61578977547326,1.91528104833636,1.60096210005416,2.06620042413031,1.74309787504637,1.368254884,1.336290039,1.301175498,1.648621047,1.778993047,1.433065156,1.25582636,1.303414143,1.026137643,1.49790104,0.9335646538,1.236696122,1.095584472
1288,0.4313283399572,0.500523584576362,1.75342559138319,1.61457744575234,1.90868400711833,1.57665473775871,2.06968370707937,1.74528111917757,1.367108824,1.336023414,1.300446552,1.647831658,1.780430218,1.432528801,1.255376713,1.301041527,1.023928627,1.497318425,0.9331991545,1.235187894,1.094113867
1287,0.429035463161113,0.497428617969423,1.75032759939707,1.61044897156759,1.91431935431684,1.58387579776784,2.06815864278302,1.74546128980976,1.368772459,1.333684389,1.301439526,1.644372836,1.776757967,1.43372238,1.252602619,1.301252001,1.02258184,1.495686329,0.9323463228,1.23630208,1.094552797
1286,0.427545093243656,0.502245596071952,1.7499488717704,1.61155481286708,1.91711455842965,1.5877518079198,2.06981004376664,1.7434794128557,1.366975733,1.333938894,1.305181835,1.640235215,1.777667864,1.434885741,1.251512796,1.302393663,1.025239785,1.494281878,0.933190017,1.23630208,1.09402383
1285,0.427774380923265,0.505340562678891,1.74905507457147,1.6099083380434,1.91017598101778,1.58940840403955,2.06921445652664,1.74204864607069,1.368166156,1.337550447,1.302260309,1.636845036,1.782609304,1.435490085,1.249828524,1.301060661,1.024121026,1.493760997,0.9313564288,1.230880615,1.093798737
1284,0.431442983797004,0.515114141437647,1.74797191355921,1.61062099132529,1.92272294224443,1.59373042083913,2.07036051076118,1.74175189444121,1.366228946,1.335156884,1.302501378,1.635109904,1.780873501,1.435580737,1.249607511,1.299364114,1.021954765,1.490805476,0.9318924945,1.235532114,1.093558638
1283,0.431557627636808,0.513973890582459,1.74897932904614,1.61219374339567,1.9185346299725,1.5948029606346,2.06928664891937,1.74269514069207,1.363308342,1.335441688,1.298787767,1.637920436,1.774074938,1.433374882,1.248296676,1.296430234,1.020429832,1.489539927,0.9328397468,1.233285626,1.094736623
1282,0.425290431060838,0.51443929909478,1.7494489513032,1.61108790209618,1.91897503190667,1.59723475878474,2.07020710192663,1.74160351862646,1.36574834,1.334763007,1.294408348,1.640071236,1.773701647,1.433087819,1.248098526,1.300142229,1.022759987,1.489790722,0.9319960526,1.232592656,1.092887112
1281,0.418106083766432,0.513159425685896,1.7501533846888,1.61009674063516,1.90988837159138,1.59743652369676,2.07022515002482,1.74111599809231,1.364158644,1.334563039,1.292083754,1.639609805,1.776566656,1.432853636,1.245911259,1.29787804,1.023721978,1.489312282,0.9297147278,1.231492058,1.094421493
1280,0.41997859981657,0.518814139110604,1.7494489513032,1.61375011263198,1.90772231309881,1.59851968269813,2.07346478364842,1.74051189656086,1.365977552,1.332151297,1.295384103,1.63838568,1.771984508,1.430489141,1.246932492,1.298554108,1.021299186,1.482629565,0.9289319501,1.229109693,1.094785393
1279,0.424143992662794,0.520256905498802,1.74685087978428,1.61029333464396,1.90472937750535,1.5872527052427,2.07394305825024,1.73861480578666,1.364801917,1.33383588,1.29610157,1.638999649,1.772978396,1.43189424,1.244249851,1.295033453,1.020814628,1.48426166,0.9301320062,1.232950464,1.093761222
1278,0.434576582084989,0.524329229981616,1.74660849410321,1.60855675423291,1.90976254246733,1.59446314604594,2.07333844696115,1.7391659159557,1.365156825,1.332127059,1.29546446,1.639361929,1.772600439,1.428449481,1.246376149,1.297131814,1.02082888,1.482394203,0.92942842,1.233041048,1.09341608
1277,0.428844390094772,0.529867591278245,1.74678270881148,1.60818814046642,1.91700670489475,1.5998364642292,2.07433109236114,1.74041651210853,1.36398119,1.332417922,1.297243778,1.63974709,1.773692315,1.428577904,1.247023946,1.29660244,1.018441718,1.480731241,0.9305645137,1.232502072,1.095970881
1276,0.428347600122287,0.534195890442836,1.74668423962854,1.6072461275076,1.92003559166652,1.59251983136701,2.07418670757569,1.73808489216258,1.362332343,1.333193557,1.297869409,1.639598365,1.775190145,1.428041549,1.245636899,1.297488982,1.021227928,1.479774362,0.9291512497,1.231632464,1.096421066
1275,0.426819015591562,0.529518534894003,1.74652517402534,1.60491976507016,1.91472380507271,1.6026186961739,2.07277895591752,1.74010916220656,1.365215977,1.333442003,1.299459317,1.63903397,1.772941067,1.427240793,1.242519853,1.293451709,1.021584221,1.478041949,0.9303238933,1.227098723,1.093918787
1274,0.429876184653011,0.532310985967933,1.74650245036774,1.60548497284545,1.92319929535691,1.59842410984507,2.07597346929567,1.73785173016798,1.365119856,1.332993589,1.29785219,1.637657306,1.770668658,1.426938621,1.239585715,1.294121399,1.019660239,1.475445258,0.9297208194,1.228480133,1.091532805
1273,0.424946499541425,0.534568217252694,1.74739624756668,1.60558326984985,1.91966709208894,1.59387908972167,2.0767314894193,1.73593344284882,1.363877675,1.334211579,1.295131555,1.636936559,1.772269143,1.4281322,1.238396817,1.295862592,1.01983126,1.476749391,0.9297299569,1.229521851,1.09049738
1272,0.430525833078569,0.536802178111838,1.74789616803387,1.60725431892463,1.91671010767378,1.59528082489991,2.07383476966115,1.73384558316994,1.363788948,1.332442161,1.297444669,1.636898424,1.770691988,1.425752597,1.238937918,1.295849836,1.016788519,1.475051703,0.9281278517,1.228212909,1.090471119
1271,0.427354020177316,0.540083308123706,1.75027457752933,1.60643517722131,1.91346551383222,1.58846329471482,2.0769300184993,1.73453447088125,1.364617068,1.332708785,1.297697217,1.639319981,1.769684102,1.424611898,1.238640694,1.293336905,1.017914404,1.471463407,0.9295197948,1.232307316,1.090932559
1270,0.429799755426475,0.544527959416378,1.74828247021307,1.6046576397251,1.9122881127429,1.59069332795294,2.07857239543383,1.73592284457633,1.363766766,1.331315066,1.296790339,1.642283051,1.771046615,1.421884797,1.239913424,1.292692727,1.017850271,1.471964997,0.9280242935,1.225771664,1.091093875
1269,0.428767960868236,0.546133618783888,1.74724475651601,1.60512455049599,1.91412162283619,1.58735889730166,2.07824752966656,1.73605002384611,1.368151369,1.329636542,1.297111764,1.642488979,1.772362466,1.423728045,1.238518756,1.292718239,1.018035544,1.470641572,0.9278324064,1.232787412,1.091626594
1268,0.432665851421584,0.546924813254834,1.74875966702267,1.60555050418172,1.9104186514713,1.58306873811976,2.07954699273564,1.7332944730009,1.366495127,1.330436416,1.297387272,1.638877618,1.767397695,1.421930123,1.237794748,1.293407063,1.018698248,1.469441615,0.9278598188,1.226564276,1.091945475
1267,0.428576887801895,0.548995881134666,1.74948682406587,1.6070003849966,1.91531699951466,1.58472533423951,2.08124351396472,1.73386677971491,1.363729796,1.328151928,1.296646845,1.63463322,1.770384023,1.423040604,1.236209551,1.292730995,1.016809896,1.465135661,0.9283715179,1.223747107,1.092778318
1266,0.427965453989606,0.547180787936611,1.74631308655441,1.6046084912229,1.92464633028348,1.60228950079113,2.08054866218472,1.73359122463039,1.36415125,1.332187655,1.297060107,1.637821285,1.769147497,1.420049103,1.236278141,1.292577923,1.016382345,1.463333797,0.9288040254,1.224752592,1.091506545
1265,0.427545093243656,0.547948711981942,1.7513122912264,1.60647613430647,1.93970987399112,1.60800263356306,2.08169471641926,1.73378199353505,1.365607855,1.331896792,1.296015474,1.63722257,1.773337688,1.42109915,1.235889463,1.293094541,1.019375205,1.465212829,0.9281644016,1.227085136,1.091701625
1264,0.424411494955671,0.548716636027273,1.74822187379281,1.60596007503338,1.93714835253725,1.61441663392412,2.08370707936651,1.73186370621589,1.366746521,1.332854217,1.296704243,1.633290877,1.772021838,1.420796978,1.235508406,1.29035838,1.017166189,1.46568741,0.9267298168,1.223176426,1.092489449
1263,0.420933965148273,0.55188141391106,1.74790374258641,1.60502625349159,1.92858298430731,1.60525225923605,2.0828317466047,1.7290339674633,1.365423007,1.331696824,1.297949766,1.630240096,1.768144277,1.418560907,1.237085982,1.291793429,1.016852652,1.46411319,0.9281887682,1.225672022,1.092448182
1262,0.427239376337511,0.552649337956391,1.7488126888904,1.60538667584105,1.92609336521004,1.59829667937432,2.08294905924288,1.73285994382916,1.365637431,1.330575788,1.295797364,1.630644325,1.768195604,1.418243626,1.233374487,1.291423505,1.016325338,1.460663796,0.9289319501,1.225309685,1.092380654
1261,0.427659737083461,0.554883298815535,1.74816885192507,1.60482965948279,1.92523053693085,1.59945417281696,2.08496142219014,1.73167293731122,1.363456221,1.332587592,1.2958892,1.624924112,1.768228267,1.417813031,1.23412898,1.290141528,1.017273077,1.458468377,0.9268973373,1.219865573,1.091330222
1260,0.432512992968511,0.555604682009634,1.74882783799547,1.60454295988663,1.92102424906976,1.59829667937432,2.08584577900104,1.7338137883525,1.365378643,1.332339147,1.296371338,1.621171652,1.766739769,1.417442871,1.232688585,1.291991147,1.019161429,1.453093651,0.9256241814,1.222379285,1.092999659
1259,0.430640476918374,0.55883927117027,1.74838851394854,1.6040432834476,1.92803472883824,1.59896568934575,2.08675720795921,1.73153515976896,1.365630037,1.331884673,1.297989944,1.626247388,1.770160049,1.41723135,1.232505678,1.28991192,1.016311086,1.451681483,0.9297086361,1.223366653,1.09093631
1258,0.433659431366555,0.562073860330905,1.7502215556616,1.60566518402018,1.93314878395139,1.59923116949315,2.08776790145738,1.73227703884267,1.363936826,1.33435701,1.297077326,1.630221029,1.769861416,1.414557129,1.232444709,1.29000759,1.016033178,1.453915486,0.9275308695,1.221310391,1.089878375
1257,0.428462243962091,0.562399646289531,1.7504715158952,1.60523103891742,1.92283978357391,1.59199949027812,2.08801155078284,1.73060251179058,1.363892463,1.332848157,1.296618147,1.632692161,1.768279595,1.415448536,1.229754447,1.290275466,1.015299215,1.453749576,0.928103485,1.220209793,1.091258943
